품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[일간 기준]
날짜,"USD/RMB (미국 달러 / 중국 인민폐)"
20180718,6.69
20180717,6.68
20180716,6.68
20180713,6.67
20180712,6.67
20180711,6.62
20180710,6.63
20180709,6.64
20180706,6.63
20180705,6.62
20180704,6.66
20180703,6.65
20180702,6.62
20180629,6.62
20180628,6.6
20180627,6.56
20180626,6.52
20180625,6.49
20180622,6.48
20180621,6.47
20180620,6.46
20180619,6.42
20180615,6.43
20180614,6.4
20180613,6.42
20180612,6.41
20180611,6.41
20180608,6.4
20180607,6.39
20180606,6.4
20180605,6.42
20180604,6.42
20180601,6.41
20180531,6.41
20180530,6.42
20180529,6.4
20180528,6.4
20180525,6.39
20180524,6.38
20180523,6.38
20180522,6.38
20180521,6.39
20180518,6.38
20180517,6.37
20180516,6.37
20180515,6.35
20180514,6.33
20180511,6.35
20180510,6.38
20180509,6.37
20180508,6.37
20180507,6.36
20180504,6.35
20180503,6.37
20180502,6.37
20180427,6.34
20180426,6.33
20180425,6.31
20180424,6.32
20180423,6.3
20180420,6.29
20180419,6.28
20180418,6.28
20180417,6.28
20180416,6.29
20180413,6.29
20180412,6.28
20180411,6.29
20180410,6.31
20180409,6.31
20180404,6.29
20180403,6.28
20180402,6.28
20180330,6.29
20180329,6.3
20180328,6.28
20180327,6.28
20180326,6.32
20180323,6.33
20180322,6.32
20180321,6.34
20180320,6.32
20180319,6.33
20180316,6.33
20180315,6.31
20180314,6.32
20180313,6.32
20180312,6.33
20180309,6.35
20180308,6.32
20180307,6.33
20180306,6.34
20180305,6.34
20180302,6.33
20180301,6.34
20180228,6.33
20180227,6.31
20180226,6.34
20180223,6.35
20180222,6.35
20180214,6.34
20180213,6.32
20180212,6.3
20180209,6.32
20180208,6.28
20180207,6.29
20180206,6.31
20180205,6.3
20180202,6.29
20180201,6.3
20180131,6.33
20180130,6.33
20180129,6.33
20180126,6.34
20180125,6.37
20180124,6.39
20180123,6.4
20180122,6.41
20180119,6.42
20180118,6.44
20180117,6.43
20180116,6.44
20180115,6.46
20180112,6.49
20180111,6.51
20180110,6.52
20180109,6.5
20180108,6.48
20180105,6.49
20180104,6.5
20180103,6.49
20180102,6.51
20171229,6.53
20171228,6.54
20171227,6.54
20171226,6.54
20171225,6.57
20171222,6.58
20171221,6.58
20171220,6.61
20171219,6.61
20171218,6.62
20171215,6.61
20171214,6.6
20171213,6.63
20171212,6.62
20171211,6.62
20171208,6.62
20171207,6.62
20171206,6.62
20171205,6.61
20171204,6.61
20171201,6.61
20171130,6.6
20171129,6.6
20171128,6.59
20171127,6.59
20171124,6.58
20171123,6.6
20171122,6.63
20171121,6.64
20171120,6.63
20171117,6.63
20171116,6.63
20171115,6.63
20171113,6.63
20171110,6.63
20171109,6.63
20171108,6.63
20171107,6.62
20171106,6.62
20171103,6.61
20171102,6.62
20171101,6.63
20171031,6.64
20171030,6.65
20171027,6.65
20171026,6.63
20171025,6.63
20171024,6.63
20171023,6.62
20171020,6.61
20171019,6.61
20171018,6.6
20171017,6.59
20171016,6.58
20171013,6.59
20171012,6.58
20171011,6.58
20171010,6.63
20171009,6.65
20170929,6.64
20170928,6.63
20170927,6.62
20170926,6.61
20170925,6.59
20170922,6.59
20170921,6.59
20170920,6.57
20170919,6.55
20170918,6.54
20170915,6.54
20170914,6.55
20170913,6.54
20170912,6.53
20170911,6.5
20170908,6.5
20170907,6.53
20170906,6.53
20170905,6.54
20170904,6.57
20170901,6.59
20170831,6.6
20170830,6.61
20170829,6.63
20170828,6.64
20170825,6.66
20170824,6.65
20170823,6.66
20170822,6.66
20170821,6.67
20170818,6.67
20170817,6.67
20170816,6.68
20170815,6.67
20170814,6.66
20170811,6.66
20170810,6.68
20170809,6.71
20170808,6.72
20170807,6.72
20170804,6.71
20170803,6.72
20170802,6.72
20170801,6.71
20170731,6.73
20170728,6.74
20170727,6.73
20170726,6.75
20170725,6.75
20170724,6.74
20170721,6.74
20170720,6.75
20170719,6.75
20170718,6.76
20170717,6.76
20170714,6.78
20170713,6.78
20170712,6.79
20170711,6.8
20170710,6.8
20170707,6.79
20170706,6.8
20170705,6.79
20170704,6.79
20170703,6.78
20170630,6.77
20170629,6.79
20170628,6.81
20170627,6.83
20170626,6.82
20170623,6.82
20170622,6.82
20170621,6.82
20170620,6.81
20170619,6.8
20170616,6.8
20170615,6.79
20170614,6.79
20170613,6.8
20170612,6.79
20170609,6.8
20170608,6.79
20170607,6.79
20170606,6.79
20170605,6.79
20170602,6.81
20170601,6.81
20170531,6.86
20170526,6.87
20170525,6.87
20170524,6.88
20170523,6.87
20170522,6.87
20170519,6.88
20170518,6.86
20170517,6.86
20170516,6.88
20170515,6.89
20170512,6.89
20170511,6.91
20170510,6.91
20170509,6.9
20170508,6.89
20170505,6.89
20170504,6.9
20170503,6.89
20170502,6.9
20170428,6.89
20170427,6.89
20170426,6.88
20170425,6.88
20170424,6.87
20170421,6.88
20170420,6.88
20170419,6.87
20170418,6.88
20170417,6.88
20170414,6.87
20170413,6.87
20170412,6.89
20170411,6.9
20170410,6.9
20170407,6.89
20170406,6.89
20170405,6.89
20170331,6.9
20170330,6.89
20170329,6.89
20170328,6.88
20170327,6.87
20170324,6.88
20170323,6.89
20170322,6.89
20170321,6.91
20170320,6.9
20170317,6.89
20170316,6.89
20170315,6.91
20170314,6.91
20170313,6.9
20170310,6.91
20170309,6.91
20170308,6.9
20170307,6.9
20170306,6.88
20170303,6.89
20170302,6.88
20170301,6.88
20170228,6.88
20170227,6.88
20170224,6.87
20170223,6.87
20170222,6.88
20170221,6.88
20170220,6.87
20170217,6.85
20170216,6.86
20170215,6.86
20170214,6.88
20170213,6.89
20170210,6.88
20170209,6.87
20170208,6.88
20170207,6.86
20170206,6.86
20170203,6.86
20170126,6.86
20170125,6.86
20170124,6.83
20170123,6.86
20170120,6.87
20170119,6.86
20170118,6.85
20170117,6.9
20170116,6.89
20170113,6.89
20170112,6.91
20170111,6.92
20170110,6.92
20170109,6.93
20170106,6.87
20170105,6.93
20170104,6.95
20170103,6.95
20161230,6.94
20161229,6.95
20161228,6.95
20161227,6.95
20161226,6.95
20161223,6.95
20161222,6.94
20161221,6.95
20161220,6.95
20161219,6.93
20161216,6.95
20161215,6.93
20161214,6.9
20161213,6.89
20161212,6.91
20161209,6.9
20161208,6.87
20161207,6.88
20161206,6.86
20161205,6.89
20161202,6.88
20161201,6.9
20161130,6.89
20161129,6.89
20161128,6.9
20161125,6.92
20161124,6.91
20161123,6.89
20161122,6.88
20161121,6.9
20161118,6.88
20161117,6.87
20161116,6.86
20161115,6.85
20161114,6.83
20161111,6.81
20161110,6.79
20161109,6.78
20161108,6.78
20161107,6.77
20161104,6.75
20161103,6.75
20161102,6.76
20161101,6.77
20161031,6.76
20161028,6.79
20161027,6.77
20161026,6.77
20161025,6.77
20161024,6.77
20161021,6.76
20161020,6.73
20161019,6.73
20161018,6.73
20161017,6.74
20161014,6.72
20161013,6.73
20161012,6.73
20161011,6.71
20161010,6.7
20160930,6.68
20160929,6.67
20160928,6.67
20160927,6.66
20160926,6.67
20160923,6.67
20160922,6.65
20160921,6.67
20160920,6.66
20160919,6.68
20160914,6.69
20160913,6.67
20160912,6.69
20160909,6.67
20160908,6.66
20160907,6.66
20160906,6.67
20160905,6.69
20160902,6.67
20160901,6.68
20160831,6.69
20160830,6.68
20160829,6.69
20160826,6.65
20160825,6.66
20160824,6.64
20160823,6.66
20160822,6.67
20160819,6.62
20160818,6.63
20160817,6.61
20160816,6.63
20160815,6.64
20160812,6.65
20160811,6.63
20160810,6.65
20160809,6.66
20160808,6.66
20160805,6.64
20160804,6.64
20160803,6.62
20160802,6.65
20160801,6.63
20160729,6.65
20160728,6.66
20160727,6.67
20160726,6.68
20160725,6.69
20160722,6.67
20160721,6.69
20160720,6.69
20160719,6.7
20160718,6.7
20160715,6.68
20160714,6.68
20160713,6.69
20160712,6.7
20160711,6.68
20160708,6.69
20160707,6.68
20160706,6.69
20160705,6.66
20160704,6.65
20160701,6.65
20160630,6.63
20160629,6.63
20160628,6.65
20160627,6.64
20160624,6.58
20160623,6.57
20160622,6.59
20160621,6.57
20160620,6.57
20160617,6.58
20160616,6.57
20160615,6.6
20160614,6.58
20160613,6.58
20160608,6.56
20160607,6.56
20160606,6.55
20160603,6.58
20160602,6.57
20160601,6.59
20160531,6.58
20160530,6.58
20160527,6.55
20160526,6.56
20160525,6.57
20160524,6.55
20160523,6.55
20160520,6.55
20160519,6.55
20160518,6.52
20160517,6.52
20160516,6.53
20160513,6.52
20160512,6.5
20160511,6.52
20160510,6.52
20160509,6.51
20160506,6.52
20160505,6.51
20160504,6.49
20160503,6.46
20160429,6.46
20160428,6.5
20160427,6.48
20160426,6.49
20160425,6.51
20160422,6.49
20160421,6.48
20160420,6.46
20160419,6.47
20160418,6.48
20160415,6.49
20160414,6.49
20160413,6.46
20160412,6.46
20160411,6.46
20160408,6.47
20160407,6.47
20160406,6.48
20160405,6.47
20160401,6.46
20160331,6.46
20160330,6.48
20160329,6.51
20160328,6.52
20160325,6.52
20160324,6.52
20160323,6.49
20160322,6.5
20160321,6.48
20160318,6.46
20160317,6.5
20160316,6.52
20160315,6.51
20160314,6.49
20160311,6.49
20160310,6.51
20160309,6.51
20160308,6.5
20160307,6.51
20160304,6.53
20160303,6.54
20160302,6.55
20160301,6.54
20160229,6.55
20160226,6.53
20160225,6.53
20160224,6.53
20160223,6.53
20160222,6.52
20160219,6.52
20160218,6.52
20160217,6.52
20160216,6.51
20160215,6.51
20160205,6.53
20160204,6.54
20160203,6.55
20160202,6.55
20160201,6.55
20160129,6.55
20160128,6.55
20160127,6.55
20160126,6.55
20160125,6.56
20160122,6.56
20160121,6.56
20160120,6.56
20160119,6.56
20160118,6.56
20160115,6.56
20160114,6.56
20160113,6.56
20160112,6.56
20160111,6.56
20160108,6.56
20160107,6.56
20160106,6.53
20160104,6.5
20151231,6.49
20151230,6.49
20151229,6.49
20151228,6.48
20151225,6.47
20151224,6.48
20151223,6.47
20151222,6.47
20151221,6.48
20151218,6.48
20151217,6.48
20151216,6.46
20151215,6.46
20151214,6.45
20151211,6.44
20151210,6.42
20151209,6.41
20151208,6.41
20151207,6.4
20151204,6.39
20151203,6.4
20151202,6.4
20151201,6.4
20151130,6.4
20151127,6.39
20151126,6.39
20151125,6.39
20151124,6.39
20151123,6.39
20151120,6.38
20151119,6.38
20151118,6.38
20151117,6.37
20151116,6.38
20151113,6.37
20151112,6.36
20151111,6.36
20151110,6.36
20151109,6.36
20151106,6.35
20151105,6.34
20151104,6.33
20151103,6.33
20151102,6.32
20151030,6.35
20151029,6.36
20151028,6.35
20151027,6.35
20151026,6.35
20151023,6.36
20151022,6.35
20151021,6.35
20151020,6.36
20151019,6.35
20151016,6.34
20151015,6.34
20151014,6.34
20151013,6.32
20151012,6.34
20151009,6.35
20151008,6.35
20150930,6.36
20150929,6.37
20150928,6.37
20150925,6.38
20150924,6.38
20150923,6.38
20150922,6.37
20150921,6.37
20150918,6.36
20150917,6.37
20150916,6.37
20150915,6.37
20150914,6.37
20150911,6.37
