품목비교 Historical Data
조회기간 :,2008-07-19 ~ 2018-07-17
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"Baltic Capesize Index (BCI)1999.03.01"
20180313,1362
20180312,1425
20180309,1479
20180308,1489
20180307,1495
20180306,1587
20180305,1597
20180302,1592
20180301,1568
20180228,1560
20180227,1595
20180226,1680
20180223,1722
20180222,1725
20180221,1717
20180220,1678
20180216,1608
20180215,1663
20180214,1721
20180213,1793
20180212,1824
20180209,1790
20180208,1662
20180207,1578
20180206,1519
20180205,1433
20180202,1470
20180201,1528
20180131,1613
20180130,1748
20180129,1784
20180126,1772
20180125,1752
20180124,1676
20180123,1525
20180122,1445
20180119,1493
20180118,1611
20180117,1743
20180116,2010
20180112,2296
20180111,2384
20180110,2677
20180109,2820
20180108,2826
20180105,2791
20180104,2715
20180103,2426
20180102,2281
20171222,2830
20171221,3115
20171220,3216
20171219,3510
20171218,3656
20171215,3777
20171214,3936
20171213,4211
20171212,4293
20171211,4272
20171208,4193
20171207,4147
20171206,4126
20171205,4115
20171204,4129
20171201,4025
20171130,3848
20171129,3740
20171128,3659
20171127,3540
20171124,3453
20171123,3420
20171122,3298
20171121,3255
20171120,3214
20171117,3153
20171116,3084
20171115,3108
20171114,3209
20171113,3351
20171110,3360
20171109,3349
20171108,3259
20171107,3101
20171106,3044
20171103,3036
20171102,3059
20171101,3137
20171031,3219
20171030,3217
20171027,3220
20171026,3182
20171025,3202
20171024,3202
20171023,3187
20171020,3145
20171019,3186
20171018,3134
20171017,3079
20171016,2980
20171013,2871
20171012,2859
20171011,2882
20171010,2894
20171009,2906
20171006,2929
20171005,2888
20171004,2667
20171003,2618
20171002,2671
20170929,2738
20170928,2824
20170927,2942
20170926,3101
20170925,3173
20170922,3147
20170921,2948
20170920,2861
20170919,2723
20170918,2681
20170915,2685
20170914,2642
20170913,2628
20170912,2724
20170911,2813
20170908,2767
20170907,2614
20170906,2438
20170905,2313
20170904,2243
20170901,2264
20170831,2293
20170830,2282
20170829,2381
20170825,2406
20170824,2333
20170823,2382
20170822,2489
20170821,2584
20170818,2574
20170817,2542
20170816,2324
20170815,2155
20170814,2093
20170811,2013
20170810,1837
20170809,1702
20170808,1659
20170807,1655
20170804,1637
20170803,1602
20170802,1475
20170801,1331
20170731,1225
20170728,1139
20170727,1138
20170726,1206
20170725,1221
20170724,1171
20170721,1154
20170720,1093
20170719,1028
20170718,984
20170717,933
20170714,933
20170713,928
20170712,846
20170711,755
20170710,730
20170707,753
20170706,818
20170705,901
20170704,997
20170703,1032
20170630,1086
20170629,1146
20170628,1170
20170627,1066
20170626,1005
20170623,987
20170622,993
20170621,1020
20170620,1110
20170619,1169
20170616,1213
20170615,1277
20170614,1362
20170613,1442
20170612,1481
20170609,1438
20170608,1381
20170607,1379
20170606,1366
20170605,1353
20170602,1374
20170601,1430
20170531,1511
20170530,1564
20170526,1591
20170525,1595
20170524,1654
20170523,1706
20170522,1704
20170519,1668
20170518,1638
20170517,1590
20170516,1632
20170515,1661
20170512,1725
20170511,1695
20170510,1645
20170509,1635
20170508,1571
20170505,1480
20170504,1458
20170503,1542
20170502,1668
20170428,1779
20170427,1798
20170426,1790
20170425,1767
20170424,1780
20170421,1830
20170420,1991
20170419,2130
20170418,2220
20170417,2249
20170413,2249
20170412,2252
20170411,2227
20170410,2165
20170407,2173
20170406,2184
20170405,2229
20170404,2382
20170403,2518
20170331,2597
20170330,2690
20170329,2755
20170328,2765
20170327,2620
20170324,2482
20170323,2345
20170322,2378
20170321,2441
20170320,2466
20170317,2413
20170316,2265
20170315,2136
20170314,1929
20170313,1843
20170310,1789
20170309,1678
20170308,1578
20170307,1556
20170306,1345
20170303,1227
20170302,1097
20170301,994
20170228,1021
20170227,1151
20170224,1165
20170223,1134
20170222,951
20170221,856
20170220,791
20170217,739
20170216,620
20170215,556
20170214,567
20170213,609
20170210,687
20170209,728
20170208,725
20170207,803
20170206,911
20170203,981
20170202,1064
20170201,1122
20170131,1167
20170130,1205
20170127,1239
20170126,1287
20170125,1369
20170124,1466
20170123,1579
20170120,1610
20170119,1665
20170118,1673
20170117,1509
20170116,1468
20170113,1383
20170112,1294
20170111,1326
20170110,1470
20170109,1598
20170106,1658
20170105,1759
20170104,1674
20170103,1538
20161223,1385
20161222,1219
20161221,1144
20161220,1044
20161219,1039
20161216,1048
20161215,1058
20161214,1169
20161213,1404
20161212,1464
20161209,1575
20161208,1724
20161207,1935
20161206,2067
20161205,2137
20161202,2193
20161201,2206
20161130,2263
20161129,2304
20161128,2260
20161125,2263
20161124,2374
20161123,2507
20161122,2598
20161121,2638
20161118,2752
20161117,2731
20161116,2441
20161115,2282
20161114,2338
20161111,2303
20161110,2010
20161109,1954
20161108,1786
20161107,1636
20161104,1593
20161103,1544
20161102,1451
20161101,1443
20161031,1534
20161028,1417
20161027,1248
20161026,1275
20161025,1348
20161024,1471
20161021,1575
20161020,1637
20161019,1826
20161018,1950
20161017,2003
20161014,2018
20161013,2018
20161012,2154
20161011,2235
20161010,2235
20161007,2245
20161006,2218
20161005,2012
20161004,1970
20161003,1971
20160930,2008
20160929,2067
20160928,2196
20160927,2298
20160926,2325
20160923,2383
20160922,2389
20160921,2118
20160920,1964
20160919,1853
20160916,1680
20160915,1487
20160914,1444
20160913,1607
20160912,1581
20160909,1566
20160908,1478
20160907,1371
20160906,1182
20160905,1079
20160902,1054
20160901,1002
20160831,978
20160830,986
20160826,1001
20160825,974
20160824,910
20160823,861
20160822,848
20160819,843
20160818,852
20160817,885
20160816,926
20160815,920
20160812,891
20160811,833
20160810,795
20160809,770
20160808,777
20160805,770
20160804,759
20160803,758
20160802,757
20160801,757
20160729,768
20160728,780
20160727,803
20160726,841
20160725,877
20160722,895
20160721,906
20160720,937
20160719,986
20160718,1016
20160715,1023
20160714,1020
20160713,1010
20160712,987
20160711,991
20160708,1002
20160707,1008
20160706,1019
20160705,1034
20160704,1049
20160701,1030
20160630,996
20160629,955
20160628,936
20160627,919
20160624,913
20160623,897
20160622,878
20160621,873
20160620,897
20160617,927
20160616,976
20160615,1000
20160614,1018
20160613,1014
20160610,1006
20160609,995
20160608,973
20160607,920
20160606,922
20160603,913
20160602,854
20160601,861
20160531,854
20160527,830
20160526,793
20160525,799
20160524,848
20160523,870
20160520,870
20160519,906
20160518,954
20160517,988
20160516,854
20160513,798
20160512,724
20160511,713
20160510,752
20160509,837
20160506,892
20160505,915
20160504,954
20160503,1055
20160429,1117
20160428,1137
20160427,1160
20160426,1135
20160425,1087
20160422,1085
20160421,1004
20160420,1022
20160419,1065
20160418,1030
20160415,949
20160414,831
20160413,744
